***,Table 1  -  Status Points
Code,Name - Definition
1,"Pole 1 Open - On when Pole 1 interrupter contact status is Open. Otherwise, off."
2,"Pole 1 Closed - On when Pole 1 interrupter contact status is Closed. Otherwise, off."
3,"Pole 2 Open - On when Pole 2 interrupter contact status is Open. Otherwise, off."
4,"Pole 2 Closed - On when Pole 2 interrupter contact status is Closed. Otherwise, off."
5,"Pole 3 Open - On when Pole 3 interrupter contact status is Open. Otherwise, off."
6,"Pole 3 Closed - On when Pole 3 interrupter contact status is Closed. Otherwise, off."
7,"IntelliRupter Fault Interrupter Open - All Poles - On when Pole 1, Pole 2, and Pole 3 interrupter contact status is Open. Otherwise, off."
8,"IntelliRupter Fault Interrupter Closed - All Poles - On when Pole 1, Pole 2, and Pole 3 interrupter contact status is Closed. Otherwise, off."
9,Manual Lever Locked Open - On when interrupter OPEN/CLOSE/READY lever is in the Open position. Off when lever is moved back to the Ready or Closed position.
10,"Manual Disconnect Open - On when disconnect on disconnect style models is in the Open position. Otherwise, off."
11,"General Profile 1 Active - On when the General Profile 1 setting is in effect. Otherwise, off."
12,"General Profile 2 Active - On when the General Profile 2 setting is in effect. Otherwise, off."
13,"General Profile 3 Active - On when the General Profile 3 setting is in effect. Otherwise, off."
14,"General Profile 4 Active - On when the General Profile 4 setting is in effect. Otherwise, off."
15,"Closing Profile 1 Active - On when the Closing Profile 1 setting is in effect after a Close command is issued by SCADA, Wi - Fi, external lever, or automatic load restoration and the Time for Closing Profile to be Active timer has not expired."
16,"Closing Profile 2 Active - On when the Closing Profile 2 setting is in effect after a Close command is issued by SCADA, Wi - Fi, external lever, or automatic load restoration and the Time for Closing Profile to be Active timer has not expired."
17,"Hot Line Tag Profile Active - On when the Hot Line Tag Profile state is in effect. Otherwise, off."
18,Ground Trip Blocked - On when the Ground Trip feature is blocked. Off when the Ground Trip feature is enabled.
19,Circuit Testing Blocked - On when the Circuit Testing feature is blocked or the Hot Line Tag state is applied. Off when the Circuit Testing feature is enabled and the Hot Line Tag state is removed.
20,Test on Backfeed Blocked - On when the Test on Backfeed feature is blocked. Off when the Test on Backfeed feature is enabled.
21,2nd Closing Profile Selected - On when the Second Closing Profile setting is selected. Off when the First Closing Profile setting is selected. Note that a selected closing profile is different from an active closing profile.
22,Hot Line Tag Active SCADA - On when the Hot Line Tag setting activated by a SCADA command is in effect. Off when the Hot Line Tag setting is removed.
23,Hot Line Tag Active IntelliLink - On when the Hot Line Tag setting activated by an IntelliLink software command is in effect. Off when the Hot Line Tag setting is removed.
24,Hot Line Tag Active Manual - On when the Hot Line Tag setting activated by a manual lever is in effect. Off when the Hot Line Tag setting is removed.
25,Remote Operation On - On when the Remote Operation setting is on. Off when the Remote Operation setting is off and only local control is permitted.
26,"Battery System Low - On when a routine battery test indicates low battery voltage. Otherwise, off. Battery Voltage set points are located on the Diagnostics>Control Power screen."
27,"Battery System Bad - On when routine battery system test indicates inadequate battery capacity; however, the IntelliRupter fault interrupter will operate normally when power is available from the integrated power module(s). Otherwise, off. The battery voltage set points are located on the Diagnostics>Control Power screen."
28,Battery Charger Problem - On when a routine battery system test turns the charger off because of overvoltage. Off when the next routine test does not detect overvoltage.
29,"AC Control Power Present - On Otherwise, off. when there is output from the integrated power module(s)."
30,"IntelliRupter Fault Interrupter Shut Down Due to Control Power Loss - On just before the IntelliRupter fault interrupter shuts down because of loss of line power and no battery power. Otherwise, off."
31,Trip on Loss of Control Energy - On when the IntelliRupter fault interrupter trips due to loss of control energy and there is no ac power. Off when the IntelliRupter fault interrupter closes or a command to close the IntelliRupter fault interrupter is received.
